Strike,Price
15,39.988067
16,38.988187
17,37.98838
18,36.988697
19,35.989246
20,34.9901
21,33.991441
22,32.993514
23,31.996647
24,31.001268
25,30.00805
26,29.017851
27,28.031564
28,27.050492
29,26.076041
30,25.109982
31,24.154241
32,23.211099
33,22.282942
34,21.372313
35,20.481678
36,19.613547
37,18.770247
38,17.953573
39,17.165016
40,16.405556
41,15.675911
42,14.975781
43,14.304521
44,13.661014
45,13.04369
46,12.450534
47,11.879755
48,11.32959
49,10.797963
50,10.282964
51,9.782949
52,9.29657
53,8.822599
54,8.360247
55,7.909076
56,7.468754
57,7.039221
58,6.620595
59,6.213211
60,5.817321
61,5.433339
62,5.061741
63,4.703022
64,4.357594
65,4.02608
66,3.708878
67,3.406398
68,3.118767
69,2.846275
70,2.589149
71,2.347327
72,2.120647
73,1.909265
74,1.712864
75,1.530912
76,1.363071
77,1.208935
78,1.068101
79,0.939983
80,0.823958
81,0.71937
82,0.625547
83,0.541673
84,0.466996
85,0.400842
86,0.342553
87,0.291477
88,0.24699
89,0.208358
90,0.174912
91,0.14615
92,0.121597
93,0.100699
94,0.082993
95,0.068134
96,0.055657
97,0.04521
98,0.036567
99,0.029478
100,0.023674
101,0.018925
102,0.015071
103,0.011932
104,0.009392
105,0.007349
106,0.005733
107,0.004453
108,0.003429
109,0.002601
110,0.001961
